Recency,Frequency,Monetary
325,1,77183.6
1,182,4310.0
74,31,1797.24
18,73,1757.55
309,17,334.4
35,85,2506.04
203,4,89.0
231,58,1079.4
213,13,459.4
22,59,2811.43
32,131,6207.67
1,19,1168.06
57,245,6310.03
51,129,2662.06
286,10,189.9
2,266,5226.23
109,23,552.0
7,85,1313.1
290,22,641.38
3,11,168.9
50,166,3541.94
44,63,1887.96
71,52,1298.04
310,14,364.6
24,33,742.9300000000001
10,17,457.5
314,77,1628.12
129,219,4008.62
81,40,852.24
21,104,2724.81
4,87,1845.31
184,99,1850.56
28,27,585.27
337,10,401.9
15,100,2780.66
79,32,549.84
21,93,439.66
71,64,1582.6000000000001
63,27,1272.48
18,156,3018.63
35,126,2409.9
45,85,1635.6599999999999
118,59,1108.65
302,5,84.3
322,11,225.6
49,5,427.7
148,54,1710.39
21,105,3415.3
49,77,1708.1200000000001
32,105,2888.55
78,109,11072.67
308,26,693.3299999999999
74,61,1226.88
66,38,758.1
216,18,562.41
23,714,124914.53
2,192,3649.1
112,34,668.58
63,29,600.39
15,45,807.04
95,39,803.5600000000001
0,125,1859.31
162,30,1760.96
77,36,777.2
194,30,582.73
21,31,825.8
25,294,7956.46
8,97,3750.4
42,11,256.4
35,234,6419.95
42,108,5059.32
0,420,13375.87
84,50,806.14
79,36,7829.89
99,16,509.01
1,199,4951.41
13,98,2906.85
366,11,173.55
2,12,172.06
20,176,5005.46
21,4,133.4
57,57,1002.3100000000001
242,26,476.49
43,22,449.45
21,191,4067.29
155,8,197.88
10,354,9035.52
16,22,430.57
133,43,707.09
55,15,3528.34
72,90,2466.86
43,125,3181.04
65,62,2363.23
70,38,947.4
93,35,826.88
18,62,1189.59
52,83,1344.78
9,29,1212.05
16,47,742.1899999999999
187,38,729.5400000000001
1,459,19788.65
31,339,6572.11
28,167,3928.0499999999997
16,422,7324.09
53,36,723.38
15,233,6816.42
22,300,13219.74
3,36,680.99
10,31,527.2
27,154,3281.63
22,216,5579.82
16,75,2484.98
32,343,4527.32
9,55,1298.66
335,15,334.93
4,245,5417.93
38,26,460.40000000000003
62,20,263.21000000000004
165,22,433.74
15,77,1246.1000000000001
81,14,1043.1
20,23,403.70000000000005
22,61,4257.82
336,149,2169.39
95,147,3723.87
17,9,482.04999999999995
232,23,73.5
133,21,1304.81
25,68,397.88
283,7,176.5
142,33,982.5699999999999
65,31,132.18
112,35,612.29
266,51,1017.68
352,16,383.7
77,26,1312.06
27,279,2481.6
0,124,2056.89
63,17,330.84
78,152,2634.26
142,38,599.68
38,12,192.72
18,106,1789.77
8,144,4485.72
0,71,1316.66
81,18,348.71000000000004
8,92,1933.48
59,66,1662.28
14,17,125.22
29,16,349.83000000000004
130,63,1089.18
91,34,716.35
42,261,12601.830000000002
28,21,363.95
21,273,5568.35
19,478,13400.24
29,52,981.18
35,19,372.7
74,50,1000.39
46,69,1161.5
197,8,207.79999999999998
165,5,95.19999999999999
78,57,964.83
357,10,168.0
38,20,437.82
7,191,3692.28
49,119,599.56
15,33,11990.960000000001
7,11,269.96
310,21,561.71
4,105,2134.01
302,16,238.85
7,168,3781.7400000000002
260,21,456.9
288,9,145.92
85,19,351.65
22,446,9401.28
1,188,4124.69
39,34,519.61
8,60,1020.42
226,28,160.54000000000002
315,11,218.45
35,88,1315.83
34,146,626.6
20,114,2794.51
77,29,440.42
246,24,415.7
39,15,197.71
238,22,511.36
2,247,7281.38
3,96,2338.15
233,87,2040.1
16,11,196.94000000000003
7,4,144.0
38,10,214.89999999999998
28,35,646.68
210,68,9864.26
316,26,452.84999999999997
91,18,437.6
108,21,418.09999999999997
37,118,3338.2200000000003
50,27,618.27
18,206,3811.22
9,132,3023.08
28,62,1032.58
28,64,2599.04
189,28,577.0600000000001
58,12,153.12
21,2,739.1999999999999
78,16,254.18
59,101,1579.51
77,60,1126.85
22,106,2099.54
51,65,1193.32
73,19,704.0400000000001
56,153,3344.38
277,20,315.6
1,105,2291.19
94,32,713.3
28,41,352.98
21,11,177.31
15,90,3641.24
14,92,1339.41
1,467,13689.67
231,11,180.1
275,18,305.1
105,38,641.13
211,86,2683.82
22,294,6620.48
10,230,4478.53
3,41,786.46
9,64,1270.88
56,31,640.5
58,101,2163.98
89,101,1689.18
66,382,6002.9
32,39,671.69
238,22,486.1
23,53,1174.58
114,10,185.9
24,47,1013.26
127,24,3344.64
129,31,477.91
33,73,1775.18
4,45,1346.97
21,121,3722.82
154,21,318.05
106,31,623.51
2,20,314.44
334,9,114.0
330,48,919.98
148,43,2209.85
10,38,601.98
16,126,4051.17
10,47,1643.18
18,36,686.05
29,5,91.68
10,13,245.1
0,230,3849.78
7,37,4881.88
324,3,63.0
57,33,620.13
11,161,3807.15
150,101,2744.0299999999997
9,92,2996.05
329,10,225.89999999999998
4,42,610.52
38,83,1970.6
24,45,1331.39
41,165,17628.46
58,48,1113.02
0,52,862.81
14,638,13787.54
3,524,12279.82
3,344,8476.57
7,105,2283.63
27,157,2863.08
371,7,89.14
113,171,4873.8099999999995
25,72,1247.61
205,16,389.01
27,32,1035.8
126,39,855.91
69,37,869.67
6,27,582.1
28,41,957.59
7,268,4939.99
79,53,797.71
19,12,219.0
70,21,283.55
6,88,2340.84
14,334,6868.29
291,33,603.42
29,157,2712.91
14,207,9706.52
96,77,1149.02
28,133,4396.13
0,38,848.55
8,259,4708.86
105,20,343.36
3,69,1053.49
150,55,1030.98
70,19,238.25
4,39,644.95
2,354,5781.73
31,161,2656.13
84,53,997.63
3,69,725.07
4,53,1031.41
370,24,427.8
27,124,2609.1
10,139,3980.7
70,46,836.33
113,26,453.01
23,274,18895.91
179,12,236.26000000000002
233,22,383.95
352,4,110.39999999999999
314,43,779.5699999999999
332,4,234.0
371,11,155.35
77,38,1013.04
63,27,427.6
133,131,540.13
51,222,21279.29
1,103,4196.01
0,4412,33053.19
3,199,4090.88
128,15,275.88
80,53,4366.78
22,197,21429.39
235,63,3010.74
280,4,3811.95
86,4,112.07999999999998
15,364,7834.650000000001
116,97,2791.59
51,95,1531.44
7,69,1898.52
137,18,494.08
316,45,1693.88
3,310,6989.63
238,32,1143.6
210,12,1351.45
59,55,892.47
16,66,1386.04
19,50,822.23
37,149,3981.36
63,25,826.74
4,103,2330.92
1,84,2225.91
8,57,532.8199999999999
363,14,311.95
9,20,463.66
64,4,91.85
191,21,324.92
373,2,192.60000000000002
256,25,400.53999999999996
334,24,545.48
52,45,860.41
18,14,430.48
365,13,254.03
9,8,6977.04
186,25,427.58
36,28,483.65000000000003
177,25,489.31
260,31,514.85
44,15,229.64000000000001
101,2,125.92
147,47,1063.46
95,29,572.2
280,4,166.04
261,14,1542.08
2,59,942.34
213,6,92.72
70,46,948.88
74,5,1759.5
59,25,397.12
2,91,1474.72
5,25,430.15000000000003
2,56,1018.71
336,11,293.0
37,38,6814.64
261,9,215.05
31,27,383.03
144,24,417.38
282,18,312.38
58,174,2610.36
172,12,134.1
33,120,671.95
2,314,5591.42
143,113,2726.77
4,414,3991.58
69,34,1118.99
65,103,1702.26
28,52,325.96000000000004
266,27,354.09
21,84,843.64
30,48,1010.29
96,47,131.81
294,17,311.55
134,78,1957.1000000000001
78,109,1316.25
372,3,38.1
7,311,2170.78
210,46,1106.4
51,5,521.2
137,3,147.12
25,95,1568.23
282,26,559.12
25,534,4009.34
185,107,1607.0600000000002
83,11,380.64
326,66,599.97
281,4,374.0
142,2,343.2300000000001
57,85,2218.02
3,154,1535.77
235,47,854.99
44,10,573.22
275,7,298.0
8,13,1463.04
24,42,703.47
87,7,309.05
62,71,1175.22
67,82,1378.4
213,5,354.12
23,79,376.71999999999997
185,3,331.0
30,31,176.55
41,22,372.8
204,4,216.5
8,116,17654.54
264,10,138.68
17,71,496.06
11,63,2919.81
175,2,750.0
39,91,2178.67
22,75,3075.04
2,24,1662.3
4,50,2483.63
148,22,363.65
138,103,2944.95
127,2,594.0
7,50,1335.19
16,27,162.78
8,720,16587.09
160,28,405.38
63,28,172.82
87,30,933.7
4,45,694.05
34,84,2062.7000000000003
311,8,117.85
77,25,415.8
21,82,42055.96
23,106,607.53
1,129,2160.7
16,62,1063.9
14,120,1504.27
25,9,114.14
63,47,11581.8
54,96,899.69
130,70,675.6
35,30,604.51
287,23,462.95
143,97,1603.99
15,116,2064.95
30,215,4167.22
1,23,1843.0
8,63,1064.07
5,79,1387.79
9,17,329.85
0,180,4757.16
305,19,108.07
9,238,4017.54
6,16,266.39
7,95,1856.63
88,108,769.8100000000001
9,10,160.18
357,19,1660.9
111,5,135.95
6,129,405.47
3,305,11189.91
197,8,144.8
211,22,738.6
155,9,39.239999999999995
157,20,7374.900000000001
29,20,372.21999999999997
242,28,390.54
18,4,97.5
0,76,1239.38
73,28,558.7
291,83,505.82
2,64,6924.110000000001
30,13,409.5
22,31,503.76
22,27,414.76
3,61,974.4200000000001
84,3,211.32
21,59,1226.89
195,28,455.88
106,31,534.85
3,337,9785.970000000001
317,7,120.94999999999999
105,6,149.05
11,404,5655.91
173,26,513.7
55,4,81.57
322,14,229.46999999999997
371,3,50.550000000000004
8,88,1646.8400000000001
0,219,4810.9400000000005
10,109,3466.2799999999997
52,175,3339.64
72,47,789.89
6,1,204.0
15,458,7277.7
3,131,2616.38
63,40,689.9
0,40,975.36
113,26,6912.0
22,45,661.3199999999999
30,10,1247.5
10,92,752.4399999999999
51,71,1010.18
356,11,190.55
54,37,642.77
73,27,921.88
137,48,881.07
79,28,908.46
8,43,676.99
272,13,516.42
290,33,560.47
98,18,305.28000000000003
30,35,629.31
31,172,3237.54
13,135,1819.41
63,14,656.6800000000001
14,403,5836.86
211,18,348.15000000000003
77,76,1214.41
24,8,271.40000000000003
249,8,183.4
253,15,307.53
71,10,248.61
190,11,346.98
12,68,1105.59
372,14,205.86
23,48,470.8
81,15,115.46000000000001
9,2,344.0
0,424,4431.44
191,9,228.8
266,7,177.15
129,22,919.61
0,111,728.02
2,358,12627.94
3,6,220.10000000000002
178,6,58.08
11,1024,28337.38
125,73,3613.63
3,18,303.75
157,22,416.08000000000004
2,1814,58762.08
8,155,8910.82
27,21,345.82
70,25,477.83
275,159,7832.47
20,24,1927.3200000000002
70,6,74.39999999999999
32,421,6003.22
0,572,28882.44
98,1,207.35999999999999
233,8,101.19
0,304,6424.09
39,8,243.94
2,20,1098.48
132,1,76.5
43,58,1531.6200000000001
372,10,350.06
59,47,786.54
30,145,1488.67
0,200,12245.960000000001
11,120,2294.78
137,30,501.14
21,76,984.91
19,79,1197.81
238,1,30.599999999999998
268,50,283.73
93,55,922.39
89,222,3756.33
4,140,2099.64
77,15,259.17
93,2,64.0
22,44,1073.3
261,3,77.3
273,7,109.8
85,98,1793.58
196,1,3096.0
55,127,2607.61
10,687,3603.29
21,63,962.39
15,170,5064.94
107,45,422.47
84,135,2388.75
18,23,307.09
332,3,110.95
39,6,618.52
25,17,228.91
9,4,712.8000000000001
28,312,3683.26
13,86,1676.06
295,74,1257.8700000000001
5,15,486.22
32,85,971.76
48,87,1741.22
94,79,1201.06
8,120,1429.35
21,4,91.8
312,8,112.75
121,79,1688.29
45,42,1021.48
282,41,417.2
18,65,791.33
35,126,1299.59
63,13,712.88
26,30,108.81
21,46,468.41
3,43,353.65
15,293,2742.82
45,67,481.49
64,17,282.45
25,265,5725.47
44,11,121.18
7,94,3957.78
14,179,1668.95
267,1,71.4
39,79,1575.89
336,37,236.02
10,2,114.60000000000001
18,29,260.68
94,63,911.94
60,25,112.08
135,3,60.7
10,110,1797.78
9,226,3401.2400000000002
3,119,9817.12
18,46,870.09
9,57,869.46
14,8,250.26000000000002
58,148,1217.65
29,321,5891.61
93,22,353.48
9,55,1095.42
19,141,786.83
56,90,1520.58
267,5,333.74
121,4,533.98
126,5,62.63999999999999
77,21,819.2900000000001
239,66,847.41
199,5,163.20000000000002
59,108,2155.95
2,32,6463.84
272,16,108.21000000000001
201,9,257.7
80,2,358.0
225,10,160.95
3,587,2755.63
12,202,1328.35
73,43,605.12
211,58,1031.07
24,36,744.85
16,31,700.73
261,21,329.56
95,67,663.65
111,13,270.40000000000003
202,57,585.12
92,27,121.74000000000001
50,16,430.5
17,136,1961.52
17,25,501.12
124,26,465.68
91,23,711.41
156,36,1030.4
8,13,399.51
11,36,672.83
61,81,283.18
60,8,557.62
268,9,944.1
262,11,200.29
0,1667,7436.93
52,90,2092.66
10,187,3834.2599999999998
2,211,4521.49
17,433,3174.75
0,315,5343.28
365,1,590.0
36,87,211.49
30,15,276.56
112,16,138.98
63,30,590.9300000000001
15,8,258.4
40,46,542.73
77,9,137.75
121,82,798.46
17,37,1132.14
59,7,93.66
330,13,201.19
22,187,2709.12
155,42,361.11
38,31,578.9399999999999
189,54,873.74
359,10,201.20000000000002
136,5,87.4
7,59,2089.85
0,2,360.0
267,5,142.5
168,20,371.89
103,81,618.09
154,1,63.75
350,21,300.42
3,81,2000.86
119,1,15.0
22,54,1385.51
6,107,1456.79
27,72,1132.03
3,26,598.57
21,78,1555.32
1,62,775.94
36,86,5732.93
65,124,2273.68
0,20,640.76
4,476,10845.550000000001
77,105,1532.2
71,11,567.36
16,25,199.48000000000002
2,21,787.85
35,75,7121.95
81,12,675.3
38,108,3627.77
315,17,1308.48
31,17,789.0
92,53,1140.93
13,21,350.9
81,265,3502.32
76,51,795.12
157,19,487.02
200,54,860.12
44,134,10736.48
260,42,775.85
177,19,353.43
67,116,2511.69
287,20,389.5
69,8,341.36
63,14,233.76
10,16,247.32
15,40,979.12
65,16,373.94
59,24,397.97999999999996
70,51,743.53
121,32,674.7
79,42,768.24
256,89,609.4
268,29,439.03
63,23,439.56
8,166,3090.7400000000002
17,60,992.5
70,10,134.95999999999998
33,128,2225.37
49,1,56.160000000000004
256,29,623.4
365,14,308.28000000000003
371,39,754.87
89,23,378.64
60,158,3312.25
88,37,778.65
98,53,1019.76
25,97,572.56
31,172,3639.31
280,15,222.99
30,152,4151.93
329,35,534.57
130,35,677.1
10,51,797.96
74,13,544.08
203,1,59.8
1,155,2520.02
184,21,307.72
28,43,1360.99
72,38,1544.13
191,26,457.34
126,39,621.23
17,3,75.0
0,11,252.49
73,27,572.451
1,478,28117.04
23,28,1003.06
106,18,213.55
133,24,1390.5
43,19,712.5
4,28,640.83
11,304,6127.43
63,16,221.06
149,8,159.85
39,102,1833.71
63,127,2626.3
107,78,1624.21
0,157,3641.32
18,29,582.6
9,71,201.78
10,67,1006.8
18,49,679.45
66,46,1269.1
73,10,534.24
4,101,3809.8900000000003
1,12,196.89
13,167,3408.06
254,54,283.71
91,13,296.64
22,59,1129.14
16,194,3534.69
23,19,291.88
26,71,2043.7199999999998
25,433,2898.2599999999998
258,2,590.0
165,17,356.97999999999996
24,46,1058.34
17,63,1766.72
6,382,9646.57
28,17,183.44
38,27,1445.0
252,9,151.5
57,41,674.68
183,17,307.9
10,98,1071.91
1,302,5704.97
98,10,165.0
0,254,2501.84
60,21,422.64
235,62,226.84
190,86,1431.78
178,58,1238.47
37,79,1454.58
200,15,300.95
45,109,1804.56
231,11,184.64
65,10,140.34
240,8,313.8
232,23,454.24
77,69,1122.41
57,34,575.4
16,422,8968.31
104,14,449.52
51,86,1215.82
135,50,1269.84
274,8,618.63
311,18,316.26000000000005
7,48,2044.8700000000001
10,35,653.33
282,19,348.05
17,42,1159.11
22,65,1166.77
287,52,1340.32
16,18,292.0
70,17,216.85
63,22,295.93
72,215,4393.63
315,26,458.52
2,162,2479.16
243,12,110.97
8,44,979.72
0,115,1791.56
260,15,251.21
126,10,205.1
73,4,152.20000000000002
72,59,891.12
20,44,1389.41
59,141,2128.42
85,36,627.16
77,8,122.75
58,93,3624.35
0,418,1071.73
29,5,125.80000000000001
32,172,3964.88
40,27,680.1800000000001
14,6,628.78
33,217,2242.36
78,15,307.76
204,22,483.8
33,66,210.31
182,75,269.09
1,296,5870.08
0,178,3444.39
42,25,1280.85
85,37,631.34
39,78,276.06
11,97,621.09
95,123,678.16
25,51,918.2
318,4,91.80000000000001
65,109,3740.07
73,135,4098.88
27,34,584.06
5,169,594.52
6,32,171.42000000000002
215,14,141.85999999999999
81,82,1799.33
83,49,777.53
143,81,1724.67
18,38,240.22
40,169,856.84
172,43,187.05
16,79,338.62
242,27,239.49
12,340,2088.94
205,33,1384.25
49,25,290.25
22,46,732.0699999999999
9,126,6717.34
24,83,1687.6000000000001
14,23,467.04
308,10,118.0
155,53,781.03
306,24,142.4
63,8,712.4
15,174,2478.95
14,21,379.65
10,87,1981.92
64,58,1117.13
35,16,247.95999999999998
107,127,2011.88
52,26,396.97
5,146,664.11
46,35,160.04
0,246,5149.92
311,19,219.52
44,99,693.32
64,23,428.89
25,27,164.34
28,40,276.75
39,97,675.51
11,215,1082.33
88,72,1154.4
23,195,1585.46
318,23,417.69
39,44,544.18
173,13,177.34
116,19,213.85
30,78,727.74
252,19,257.23
58,92,1638.47
22,59,7792.36
4,71,2031.78
99,11,3070.42
24,145,2118.93
32,186,1547.3600000000001
67,62,1071.03
36,63,949.12
51,99,804.3
15,8,122.64
73,40,1033.34
215,57,312.28
30,28,519.44
15,146,2624.26
119,5,252.1
9,78,1648.1200000000001
256,23,346.6
16,96,1836.34
34,6,94.2
45,63,1095.08
42,166,2707.33
113,56,932.97
164,49,379.65
10,16,382.14
9,108,2639.17
205,103,1563.0
85,52,881.26
178,13,189.47
59,12,84.65
148,83,299.05
2,463,6309.83
50,9,218.55
74,25,349.7
300,6,186.39000000000001
18,60,387.44
150,25,486.82000000000005
151,16,232.6
0,194,3719.12
17,57,827.83
186,3,59.5
285,29,65.13
2,39,3119.44
182,8,72.0
62,6,910.0
58,9,172.25
24,53,1488.32
3,568,65039.62
30,90,2504.13
38,12,151.29999999999998
154,14,308.58000000000004
25,194,2248.63
317,1,99.5
4,134,2308.06
7,28,711.86
302,20,330.79
266,48,806.41
270,49,285.33
3,335,6307.650000000001
31,8,180.48
218,13,252.06
246,10,228.84
280,104,1077.39
268,21,138.28
31,102,1445.01
245,12,306.55
14,60,1041.68
116,43,799.9
35,28,524.14
131,85,2375.41
216,6,199.85000000000002
49,104,1980.56
38,42,1079.6599999999999
28,20,333.48
36,63,1016.14
135,43,752.6
218,38,610.59
27,33,491.86
24,195,2883.54
4,190,729.8
199,30,339.59999999999997
17,3,216.9
240,23,350.75
71,34,668.4300000000001
16,313,3107.87
2,41,1341.6
94,63,1080.52
161,25,300.04
373,1,79.6
95,28,948.25
53,24,1647.26
287,9,296.25
123,75,1175.38
287,35,741.26
151,12,282.59999999999997
3,321,2108.06
1,142,5189.52
11,117,3190.55
32,25,659.4100000000001
53,57,286.79
49,70,1070.65
218,7,306.72
62,15,1714.96
70,207,1519.42
1,368,17220.36
1,135,2796.51
63,119,2634.45
33,173,1122.63
81,22,345.0
0,197,25977.16
102,9,178.7
6,57,360.01
250,17,127.84
12,113,908.86
9,31,2462.79
366,7,230.39999999999998
75,31,309.04
3,45,348.8
127,11,1516.0
65,13,195.55
0,349,37153.85
116,39,688.86
309,33,558.32
66,23,324.8
138,60,4599.42
254,17,277.07
30,135,2588.39
51,13,924.6
63,10,256.38
366,7,112.6
5,76,1747.66
304,12,155.05
28,35,1499.01
183,13,814.5
41,36,539.0
39,69,1366.8600000000001
91,57,1579.12
21,176,4027.36
23,28,571.6700000000001
28,24,382.98
301,36,1140.35
144,59,385.64
5,96,632.0
18,40,957.66
32,46,1698.94
175,10,189.5
57,92,409.8
21,15,209.49
15,72,2198.45
18,3,52.199999999999996
158,28,383.85
24,55,834.57
211,18,266.59000000000003
5,165,674.82
252,1,85.0
58,206,3385.62
10,20,361.62
64,9,312.98
24,55,865.0600000000001
91,5,1255.0
51,101,1537.95
128,93,1595.48
95,81,2651.46
56,23,1090.14
8,110,8109.5199999999995
168,14,388.5
56,11,216.17
325,28,201.16
0,76,1245.9
17,139,2209.36
247,20,305.78
57,30,501.56
73,7,145.67000000000002
30,60,1005.09
6,33,3192.54
122,304,3083.65
1,115,2770.94
22,336,6403.25
119,23,389.6
357,18,540.45
53,104,1786.79
63,7,122.7
85,3,117.24
54,35,1271.57
20,165,3219.77
3,178,17159.52
2,65,1191.13
10,142,2674.48
6,59,787.6
188,28,506.8
70,16,243.56
203,19,349.55
119,39,595.67
92,15,416.90000000000003
0,110,1883.8100000000002
26,27,632.97
297,21,821.1
23,27,564.62
27,118,2593.07
49,17,311.16
325,12,155.93
15,19,388.52
182,43,740.95
71,149,2867.2
36,26,332.64
79,122,2369.55
56,148,2580.91
11,33,626.45
49,18,272.04
49,30,1212.8400000000001
58,28,384.81
351,7,172.25
53,20,351.13
1,117,1838.8500000000001
92,41,678.25
22,11,223.85000000000002
74,21,348.99
10,27,464.57
168,9,842.65
57,17,337.34
95,58,1237.53
294,16,307.4
108,23,608.7900000000001
263,31,922.1
179,26,376.58
168,9,158.85
34,7,71.66
22,45,568.55
16,49,839.14
21,45,5112.96
78,11,561.5699999999999
64,5,90.6
360,3,102.0
2,160,2427.32
10,35,745.06
175,39,674.45
217,137,3251.071
6,20,3515.68
1,25,439.92
153,33,322.96
4,147,1019.27
78,90,594.04
20,12,230.22
21,11,169.55
307,35,664.54
145,2,80.7
6,619,9024.17
18,149,2758.26
70,15,190.25
286,11,264.7
48,28,413.59000000000003
30,329,2461.2400000000002
206,10,357.98
14,15,196.79000000000002
72,54,869.87
59,11,200.14
38,111,1871.81
29,107,2603.43
26,16,920.51
3,349,7060.13
16,13,320.46
19,234,4147.96
65,41,1266.08
212,16,311.3
11,82,852.88
29,5,76.8
42,121,3466.36
3,148,2274.14
14,86,1393.69
9,208,3901.81
210,15,635.66
45,39,2043.0800000000002
133,47,529.73
42,171,4582.64
9,84,2874.72
115,30,962.19
197,42,695.61
277,11,328.8
109,34,473.02
76,39,505.18
52,20,917.34
161,161,4341.21
46,66,1421.61
16,39,642.8
154,22,631.9
224,28,440.0
6,31,584.07
121,16,327.7
60,6,104.82
62,15,467.66
17,242,2358.84
6,250,17286.86
1,143,2975.59
21,86,648.89
28,66,1428.02
284,38,626.65
175,28,147.20000000000002
77,92,1560.38
32,6,152.2
40,229,3560.32
265,21,141.41
26,206,646.42
108,6,1659.75
283,14,154.99
8,32,1308.6100000000001
304,85,409.93
16,478,5578.72
31,54,746.36
0,210,15610.390000000001
19,56,225.36
123,4,260.25
64,6,92.46
105,10,725.6400000000001
0,1088,8152.71
23,283,6211.66
266,8,183.6
4,202,6140.42
9,111,10464.85
28,77,1334.34
266,7,152.55
63,52,374.7
319,24,265.85
3,323,1437.57
31,13,151.04
4,43,942.26
128,44,118.67
40,42,499.41999999999996
101,65,1049.37
124,12,375.1
32,4,45.599999999999994
301,150,921.62
364,29,182.25
3,177,1002.9
1,448,4421.29
2,68,191.47
9,589,50491.81
56,13,158.75
324,1,76.32000000000001
7,214,4076.91
11,100,433.86
3,5111,65164.79
36,21,147.35
15,250,3104.17
137,25,191.95000000000002
73,35,5976.79
4,58,1105.8799999999999
154,21,216.20999999999998
238,74,1266.23
51,123,2703.23
30,34,597.91
72,9,144.2
3,155,5683.15
13,10,692.85
22,160,2915.15
3,34,1840.42
273,15,386.53
19,72,1382.74
143,3,90.0
3,159,2780.15
83,5,419.58000000000004
10,166,2720.63
7,15,706.1300000000001
122,44,709.71
60,46,637.5
1,52,1123.8600000000001
318,66,480.91
1,200,3586.0299999999997
129,28,605.64
1,134,4690.31
1,46,965.8800000000001
45,26,415.82
3,66,935.05
2,40,915.13
372,22,311.81
133,7,115.8
46,11,3742.2
8,210,4191.0
77,5,483.4
233,3,157.2
220,28,446.62
35,26,658.64
74,49,621.29
238,52,1345.62
265,6,118.75
9,1395,117210.08
19,46,424.89000000000004
39,41,507.66
19,1175,4630.35
215,104,1097.6200000000001
173,25,289.36
86,52,2445.91
70,29,1631.77
275,24,120.44
38,50,562.59
97,58,363.79
10,29,450.84
32,26,134.46
59,149,3222.3
296,31,576.9000000000001
85,41,549.46
8,318,1600.26
40,157,701.57
10,240,4748.52
66,24,452.89
330,3,197.65
30,65,2054.36
1,265,4654.08
1,259,4684.76
67,42,853.39
4,579,11349.52
201,7,1012.0
106,6,335.52
17,39,701.4
217,2,185.39999999999998
59,37,747.44
1,39,150.61
16,24,466.7
238,20,328.15999999999997
94,10,151.74
10,87,2073.43
105,102,1905.8400000000001
52,112,2241.1
89,9,1070.48
30,67,1004.38
11,108,1789.72
2,59,1839.3
1,100,2004.98
42,12,169.48000000000002
3,7,89.94
246,21,632.4
41,193,3432.8
176,41,683.17
91,60,991.13
109,113,1009.73
28,66,2214.79
25,175,3350.96
51,40,1547.2
183,50,925.71
42,115,2048.07
48,35,1462.72
21,147,754.12
74,79,3144.86
80,15,490.86
372,9,161.0
325,8,146.85
42,112,2380.85
29,42,890.34
183,10,213.70000000000002
234,16,280.55
8,141,2588.77
219,108,1693.45
110,75,1474.06
277,20,136.76999999999998
317,8,302.58
6,111,1904.05
1,78,2879.7000000000003
259,53,969.0600000000001
63,106,3099.7200000000003
8,111,12669.98
141,5,120.0
50,52,1163.45
7,143,2618.23
154,17,333.97
108,31,530.18
162,55,1516.24
331,29,492.65000000000003
225,10,112.32
73,33,437.96
50,29,559.97
98,64,1119.74
14,222,4188.0
196,8,134.04
2,154,3701.44
30,32,595.25
20,27,1910.01
23,280,4628.75
7,9,176.63
212,16,426.6
8,47,911.26
10,101,2314.65
1,237,3883.25
7,100,4871.93
2,61,1046.56
39,5,166.20000000000002
